,Underlying (collateral price),Put value,Delta,Gamma,Vega,Theta,Speed,Initial Asset Weight,Maintenance Asset Weight,Leverage,Liquidation Price,Liqudidation Price Drop (%),Collateral Value,Borrow Value,Deposit Limit,Percent of Market Cap,Slippage %,Maximum Potential Exposure (Monthly Fees),Exposure Collateral Ratio (Monthly APR) (%),Collateral APR Required (%),Short Hedge Required,Months of Fees To Cover Short
20,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,88235294.11764707,58235294.11764707,30000000,26.598840508847104,1.673,1214736.7070911045,1.3767016013699183,16.52041921643902,-6367983.580085544,-5.242274760375665
21,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,88235294.11764707,58235294.11764707,30000000,26.598840508847104,1.673,1214736.7070911045,1.3767016013699183,16.52041921643902,-6367983.580085544,-5.242274760375665
22,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,88235294.11764707,58235294.11764707,30000000,26.598840508847104,1.673,1214736.7070911045,1.3767016013699183,16.52041921643902,-6367983.580085544,-5.242274760375665
23,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,147058823.5294118,97058823.52941178,50000000,44.33140084807851,1.673,2024561.1784851742,1.3767016013699183,16.52041921643902,-10613305.96680924,-5.242274760375665
24,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,3000000.0,2250000.0,750000,0.6649710127211776,0.88,99119.80344731636,3.303993448243878,39.64792137892654,-442422.1842013735,-4.463509498750443
25,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,4000000.0,3000000.0,1000000,0.8866280169615702,1.16,132159.73792975515,3.303993448243879,39.64792137892655,-589896.2456018312,-4.463509498750442
26,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,8000000.0,6000000.0,2000000,1.7732560339231405,1.53,264319.4758595103,3.303993448243879,39.64792137892655,-1179792.4912036625,-4.463509498750442
27,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,20000000.0,15000000.0,5000000,4.433140084807851,1.67,660798.6896487758,3.303993448243879,39.64792137892655,-2949481.2280091564,-4.463509498750442
28,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,20000000.0,15000000.0,5000000,4.433140084807851,1.67,660798.6896487758,3.303993448243879,39.64792137892655,-2949481.2280091564,-4.463509498750442
29,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,20000000.0,15000000.0,5000000,4.433140084807851,1.673,660798.6896487758,3.303993448243879,39.64792137892655,-2949481.2280091564,-4.463509498750442
30,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,40000000.0,30000000.0,10000000,8.866280169615703,1.67,1321597.3792975517,3.303993448243879,39.64792137892655,-5898962.456018313,-4.463509498750442
31,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,80000000.0,60000000.0,20000000,17.732560339231405,1.67,2643194.7585951034,3.303993448243879,39.64792137892655,-11797924.912036626,-4.463509498750442
32,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,120000000.0,90000000.0,30000000,26.598840508847104,1.673,3964792.1378926546,3.303993448243879,39.64792137892655,-17696887.368054938,-4.463509498750442
33,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,120000000.0,90000000.0,30000000,26.598840508847104,1.673,3964792.1378926546,3.303993448243879,39.64792137892655,-17696887.368054938,-4.463509498750442
34,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,120000000.0,90000000.0,30000000,26.598840508847104,1.673,3964792.1378926546,3.303993448243879,39.64792137892655,-17696887.368054938,-4.463509498750442
35,2.032,0.08951619582442083,-0.1966320818672771,0.4014163901100226,0.5630815909204058,-0.12010036530089571,-0.44185147362142474,0.75,0.9,4.0,1.6933333333333334,-16.666666666666664,200000000.0,150000000.0,50000000,44.33140084807851,1.673,6607986.896487758,3.303993448243879,39.64792137892655,-29494812.280091565,-4.463509498750443
